Module Name,Unit,Block Name,Ports,Inferred Type,Freq[Mhz],Lines,Width,Protection,Total Signature Bits,Write Segment Size,Instantiations,Init,Interleaving,Protection Resolution,Write Segment W/O Signature Size,Width W/O Signature,Type,Words|Number of Rules, Bits/Word,Bit Enable|Slice Enable,Folded,Column Mux,Redundancy,Rows,Columns,Total Instances,Name
mem_nh_path_ctrs_shell_16384x64,nh_path_ctrs,action,1rw,SRAM,1225,16384,72,ECC,8,72,1,No,1,64,64,64,SRAM,16384,,0,0,0,0,1,1,1,
mem_nh_routes_shell_16384x64,nh_routes,action,1rw,SRAM,1225,16384,72,ECC,8,72,1,No,1,64,64,64,SRAM,16384,,0,0,0,0,1,1,1,
mem_nh_status_shell_1x64,nh_status,action,1r1w,FLOPS,1225,1,72,ECC,8,72,1,No,1,64,64,64,FLOPS,1,,0,0,0,0,1,1,1,
mem_nh_used_shell_256x64,nh_used,action,1rw,RF,1225,256,72,ECC,8,72,1,No,1,64,64,64,RF,256,,0,0,0,0,1,1,1,
mem_nh_weight_shell_2048x64,nh_weight,action,1rw,SRAM,1225,2048,72,ECC,8,72,8,No,1,64,64,64,SRAM,2048,,0,0,0,0,1,1,1,
mem_parser_ana_cam_shell_16x96,parser_ana_cam,parser,1r1w,FLOPS,1225,16,104,ECC,8,104,32,No,1,96,96,96,FLOPS,16,,0,0,0,0,1,1,1,
mem_parser_ana_exc_shell_16x9,parser_ana_exc,parser,1r1w,FLOPS,1225,16,14,ECC,5,14,32,No,1,9,9,9,FLOPS,16,,0,0,0,0,1,1,1,
mem_parser_ana_ext_shell_32x26,parser_ana_ext,parser,1r1w,FLOPS,1225,32,32,ECC,6,32,32,No,1,26,26,26,FLOPS,32,,0,0,0,0,1,1,1,
mem_parser_ana_s_shell_16x48,parser_ana_s,parser,1r1w,FLOPS,1225,16,55,ECC,7,55,32,No,1,48,48,48,FLOPS,16,,0,0,0,0,1,1,1,
mem_parser_ana_w_shell_16x32,parser_ana_w,parser,1r1w,FLOPS,1225,16,39,ECC,7,39,32,No,1,32,32,32,FLOPS,16,,0,0,0,0,1,1,1,
mem_parser_csum_cfg_shell_17x6,parser_csum_cfg,parser,1r1w,FLOPS,1225,17,11,ECC,5,11,2,No,1,6,6,6,FLOPS,17,,0,0,0,0,1,1,1,
mem_parser_extract_cfg_shell_80x16,parser_extract_cfg,parser,1r1w,FLOPS,1225,80,22,ECC,6,22,16,No,1,16,16,16,FLOPS,80,,0,0,0,0,1,1,1,
mem_parser_key_s_shell_16x32,parser_key_s,parser,1r1w,FLOPS,1225,16,39,ECC,7,39,32,No,1,32,32,32,FLOPS,16,,0,0,0,0,1,1,1,
mem_parser_key_w_shell_16x64,parser_key_w,parser,1r1w,FLOPS,1225,16,72,ECC,8,72,32,No,1,64,64,64,FLOPS,16,,0,0,0,0,1,1,1,
mem_parser_metadata_fifo_shell_32x120,parser_metadata_fifo,parser,1r1w,FLOPS,1225,32,128,ECC,8,128,1,No,1,120,120,120,FLOPS,32,,0,0,0,0,1,1,1,
mem_parser_port_cfg_shell_17x64,parser_port_cfg,parser,1r1w,FLOPS,1225,17,72,ECC,8,72,2,No,1,64,64,64,FLOPS,17,,0,0,0,0,1,1,1,
mem_parser_ptype_ram_shell_64x14,parser_ptype_ram,parser,1rw,FLOPS,1225,64,20,ECC,6,20,1,No,1,14,14,14,FLOPS,64,,0,0,0,0,1,1,1,
mem_ppe_stm_fwd_tbl0_shell_4096x72,ppe_stm_fwd_tbl0,ppe_stm,1rw,SRAM,1225,4096,72,None,0,72,192,No,1,,72,72,SRAM,4096,,0,0,0,0,1,1,1,
mem_ppe_stm_fwd_tbl1_shell_2048x72,ppe_stm_fwd_tbl1,ppe_stm,1rw,SRAM,1225,2048,72,None,0,72,64,No,1,,72,72,SRAM,2048,,0,0,0,0,1,1,1,
mem_ppe_stm_l3mc_tbl_shell_4096x512,ppe_stm_l3mc_tbl,ppe_stm,1rw,SRAM,1225,4096,576,ECC,64,576,1,No,1,64,512,512,SRAM,4096,,0,0,0,0,1,1,1,
mem_ppe_stm_mod_tbl_shell_2048x72,ppe_stm_mod_tbl,ppe_stm,1rw,SRAM,1225,2048,72,None,0,72,80,No,1,,72,72,SRAM,2048,,0,0,0,0,1,1,1,
mem_ppe_stm_shcp_tbl_shell_32768x33,ppe_stm_shcp_tbl,ppe_stm,1rw,SRAM,1225,32768,40,ECC,7,40,1,No,1,33,33,33,SRAM,32768,,0,0,0,0,1,1,1,
mem_pol_cfg_shell_16x23,pol_cfg,action,1r1w,FLOPS,1225,16,29,ECC,6,29,2,No,1,23,23,23,FLOPS,16,,0,0,0,0,1,1,1,
mem_pol_dscp_shell_64x15,pol_dscp,action,1r1w,FLOPS,1225,64,21,ECC,6,21,16,No,1,15,15,15,FLOPS,64,,0,0,0,0,1,1,1,
mem_pol_exp_shell_8x9,pol_exp,action,1r1w,FLOPS,1225,8,14,ECC,5,14,16,No,1,9,9,9,FLOPS,8,,0,0,0,0,1,1,1,
mem_pol_vpri_shell_16x11,pol_vpri,action,1r1w,FLOPS,1225,16,16,ECC,5,16,16,No,1,11,11,11,FLOPS,16,,0,0,0,0,1,1,1,
mem_refcnt_shell_2048x144,refcnt,mce,1rw,SRAM,1225,2048,224,ECC,80,14,16,No,1,9,9,144,SRAM,2048,,0,0,0,0,1,1,1,
mem_rx_stats_byte_shell_128x56,rx_stats_byte,action,1r1w,RF,1225,128,63,ECC,7,63,4,No,1,56,56,56,RF,128,,0,0,0,0,1,1,1,
mem_rx_stats_pkt_shell_128x48,rx_stats_pkt,action,1r1w,RF,1225,128,55,ECC,7,55,4,No,1,48,48,48,RF,128,,0,0,0,0,1,1,1,
mem_trig_action_cfg_1_shell_96x64,trig_action_cfg_1,action,1r1w,RF,1225,96,72,ECC,8,72,1,No,1,64,64,64,RF,96,,0,0,0,0,1,1,1,
mem_trig_action_cfg_2_shell_96x64,trig_action_cfg_2,action,1r1w,RF,1225,96,72,ECC,8,72,1,No,1,64,64,64,RF,96,,0,0,0,0,1,1,1,
mem_trig_action_dmask_shell_96x64,trig_action_dmask,action,1r1w,RF,1225,96,72,ECC,8,72,5,No,1,64,64,64,RF,96,,0,0,0,0,1,1,1,
mem_trig_action_drop_shell_96x64,trig_action_drop,action,1r1w,RF,1225,96,72,ECC,8,72,5,No,1,64,64,64,RF,96,,0,0,0,0,1,1,1,
mem_trig_action_glort_shell_96x64,trig_action_glort,action,1r1w,RF,1225,96,72,ECC,8,72,1,No,1,64,64,64,RF,96,,0,0,0,0,1,1,1,
mem_trig_action_mirror_shell_96x64,trig_action_mirror,action,1r1w,RF,1225,96,72,ECC,8,72,1,No,1,64,64,64,RF,96,,0,0,0,0,1,1,1,
mem_trig_condition_amask1_shell_96x64,trig_condition_amask1,action,1r1w,RF,1225,96,72,ECC,8,72,1,No,1,64,64,64,RF,96,,0,0,0,0,1,1,1,
